time,solar,wind,actual_demand,INTER_EWIC,INTER_GRNLK,INTER_NET_ROI,interconnection,hour,renewableRatio,energyStatus,interconnectionStatus,importDependency,sustainabilityStatus,date
2026-03-08 00:00:00,0.0,1879.0,3726.0,0.0,148.0,148.0,0.0,0,0.5042941492216855,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 01:00:00,0.0,1841.0,3581.0,0.0,115.0,115.0,0.0,1,0.514102206087685,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 02:00:00,0.0,1818.0,3608.0,0.0,100.0,100.0,0.0,2,0.503880266075388,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 03:00:00,0.0,1850.0,3508.0,0.0,52.0,52.0,0.0,3,0.5273660205245154,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 04:00:00,0.0,1833.0,3414.0,0.0,3.0,3.0,0.0,4,0.5369068541300527,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 05:00:00,0.0,1920.0,3422.0,0.0,2.0,2.0,0.0,5,0.5610753945061367,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 06:00:00,0.0,1965.0,3494.0,0.0,64.0,64.0,0.0,6,0.5623926731539782,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 07:00:00,108.0,2105.0,3635.0,0.0,135.0,135.0,0.0,7,0.6088033012379642,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 08:00:00,373.0,2113.0,3750.0,0.0,-8.0,-8.0,0.0,8,0.6629333333333334,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 09:00:00,563.0,2165.0,3833.0,0.0,-113.0,-113.0,0.0,9,0.7117140620923559,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 10:00:00,702.0,2197.0,3874.0,0.0,-237.0,-237.0,0.0,10,0.7483221476510067,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 11:00:00,761.0,2141.0,3856.0,0.0,-248.0,-248.0,0.0,11,0.7525933609958506,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 12:00:00,583.0,2262.0,3923.0,0.0,-116.0,-116.0,0.0,12,0.725210298241142,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 13:00:00,488.0,2295.0,3935.0,0.0,-78.0,-78.0,0.0,13,0.7072426937738246,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 14:00:00,477.0,2257.0,3953.0,0.0,-7.0,-7.0,0.0,14,0.6916266126992158,High Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 15:00:00,247.0,2168.0,4043.0,0.0,-2.0,-2.0,0.0,15,0.5973287162997774,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 16:00:00,143.0,1946.0,4288.0,0.0,-5.0,-5.0,0.0,16,0.48717350746268656,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 17:00:00,31.0,1675.0,4557.0,216.0,223.0,439.0,0.0,17,0.37436910247970157,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 18:00:00,-1.0,1561.0,4788.0,516.0,179.0,695.0,0.0,18,0.3258145363408521,Medium Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 19:00:00,0.0,1391.0,4701.0,530.0,350.0,880.0,0.0,19,0.29589449053392897,Low Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 20:00:00,0.0,1151.0,4487.0,530.0,414.0,944.0,0.0,20,0.2565188321818587,Low Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 21:00:00,0.0,952.0,4200.0,341.0,466.0,807.0,0.0,21,0.22666666666666666,Low Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 22:00:00,0.0,788.0,3874.0,418.0,485.0,903.0,0.0,22,0.20340733092410945,Low Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-08 23:00:00,0.0,707.0,3798.0,153.0,419.0,572.0,0.0,23,0.1861506055818852,Low Renewable,Neutral,0.0,Balanced,08-Mar-2026
2026-03-12 00:00:00,0.0,3217.0,3863.0,-200.0,-226.0,-426.0,0.0,0,0.8327724566399172,High Renewable,Neutral,0.0,Balanced,12-Mar-2026
2026-03-12 01:00:00,0.0,3079.0,3708.0,-193.0,-226.0,-419.0,0.0,1,0.8303667745415318,High Renewable,Neutral,0.0,Balanced,12-Mar-2026
2026-03-12 02:00:00,0.0,3134.0,3760.0,-193.0,-226.0,-419.0,0.0,2,0.8335106382978723,High Renewable,Neutral,0.0,Balanced,12-Mar-2026
2026-03-12 03:00:00,0.0,3117.0,3681.0,-193.0,-226.0,-419.0,0.0,3,0.8467807660961695,High Renewable,Neutral,0.0,Balanced,12-Mar-2026
